user_goal,habit_log,habit_type,sentiment,aligned
I want to learn how to play the guitar.,I practiced guitar for 30 minutes today.,Learning,Positive,True
I want to learn how to play the guitar.,I watched TV instead of practicing guitar.,Distraction,Negative,False
I want to learn a new language.,I practiced Spanish for 15 minutes today.,Learning,Positive,True
I want to learn a new language.,I didn't practice my language skills this week.,Learning,Negative,False
I want to learn photography.,I took photos in manual mode and watched a tutorial.,Learning,Positive,True
I want to learn photography.,I scrolled social media for 2 hours.,Distraction,Negative,False
I want to learn cooking skills.,I tried a new recipe for dinner.,Cooking,Positive,True
I want to learn cooking skills.,I ordered takeout instead of cooking.,Cooking,Negative,False
I want to improve my fitness level.,I went for a 5 km run this morning.,Fitness,Positive,True
I want to improve my fitness level.,I skipped my workout today.,Fitness,Negative,False
I want to eat healthier.,I cooked a healthy dinner with vegetables.,Nutrition,Positive,True
I want to eat healthier.,I ordered fast food for lunch.,Nutrition,Negative,False
I want to improve my sleep quality.,I went to bed early and slept for 8 hours.,Sleep,Positive,True
I want to improve my sleep quality.,I stayed up late scrolling through my phone.,Sleep,Negative,False
I want to meditate daily.,I meditated for 10 minutes today.,Mindfulness,Positive,True
I want to reduce stress.,I took a walk in the park to relax.,Mindfulness,Positive,True
I want to reduce stress.,I worked late and didn't take breaks.,Mindfulness,Negative,False
I want to practice gratitude.,I wrote down three things I am grateful for.,Mindfulness,Positive,True
I want to practice gratitude.,I didn't reflect on what I am grateful for today.,Mindfulness,Negative,False
I want to declutter my home.,I organized my closet today.,Organization,Positive,True
I want to declutter my home.,I left my room messy and didn't organize anything.,Organization,Negative,False
I want to improve my time management skills.,I planned my week ahead and prioritized tasks.,Organization,Positive,True
I want to improve my time management skills.,I procrastinated and missed my deadlines.,Distraction,Negative,False
I want to spend more time with family.,I had dinner with my family tonight.,Relationships,Positive,True
I want to spend more time with family.,I spent the evening working instead of with family.,Relationships,Negative,False
I want to volunteer more.,I volunteered at the local shelter this weekend.,Community Service,Positive,True
I want to volunteer more.,I didn't find time to volunteer this month.,Community Service,Negative,False
I want to save money.,I saved $50 this week.,Finance,Positive,True
I want to save money.,I bought a new gadget I didn't need.,Finance,Negative,False
I want to learn about personal finance.,I read an article on budgeting today.,Finance,Positive,True
I want to learn about personal finance.,I ignored my budget and spent impulsively.,Finance,Negative,False
I want to improve my public speaking skills.,I practiced a speech in front of friends.,Communication,Positive,True
I want to improve my public speaking skills.,I avoided speaking in public this week.,Communication,Negative,False
I want to read more books.,I read 20 pages of a book today.,Reading,Positive,True
I want to read more books.,I spent the evening watching YouTube instead of reading.,Distraction,Negative,False
I want to improve my coding skills.,I solved 2 LeetCode problems today.,Programming,Positive,True
I want to improve my coding skills.,I watched TV for 3 hours instead of coding.,Distraction,Negative,False
I want to learn Python.,I completed a Python tutorial on functions.,Programming,Positive,True
I want to learn Python.,I didn't open my Python course this week.,Programming,Negative,False
I want to contribute to open source.,I submitted a pull request to a GitHub project.,Programming,Positive,True
I want to contribute to open source.,I spent the evening gaming instead of coding.,Distraction,Negative,False
I want to build a personal website.,I designed the homepage layout in HTML and CSS.,Programming,Positive,True
I want to build a personal website.,I procrastinated and didn't write any code.,Programming,Negative,False
I want to master data structures.,I implemented a binary search tree in Python.,Programming,Positive,True
I want to master data structures.,I watched random videos instead of studying algorithms.,Distraction,Negative,False
I want to learn web development.,I built a simple to-do app using React.,Programming,Positive,True
I want to learn web development.,I didn't work on my web development course this week.,Programming,Negative,False
I want to learn machine learning.,I completed a lesson on linear regression.,Programming,Positive,True
I want to learn machine learning.,I didn't study any ML concepts today.,Programming,Negative,False
I want to travel more.,I researched destinations and made a travel plan.,Planning,Positive,True
I want to travel more.,I didn't look into any travel options this month.,Planning,Negative,False
I want to learn to draw.,I sketched for 20 minutes today.,Learning,Positive,True
I want to learn to draw.,I didn't practice drawing at all this week.,Learning,Negative,False
I want to be more eco-friendly.,I used a reusable bag for groceries.,Sustainability,Positive,True
I want to be more eco-friendly.,I used disposable plastic bags for shopping.,Sustainability,Negative,False
I want to improve my handwriting.,I practiced cursive writing for 15 minutes.,Learning,Positive,True
I want to improve my handwriting.,I didn't write anything by hand today.,Learning,Negative,False
I want to learn to swim.,I attended a swimming lesson.,Fitness,Positive,True
I want to learn to swim.,I skipped my swimming class.,Fitness,Negative,False
I want to be more punctual.,I arrived 10 minutes early for my meeting.,Organization,Positive,True
I want to be more punctual.,I was late to my appointment.,Organization,Negative,False
I want to improve my drawing skills.,I watched drawing tutorials but didn't practice.,Learning,Negative,False
I want to improve my drawing skills.,I drew a portrait sketch today.,Learning,Positive,True
I want to learn JavaScript.,I completed a JavaScript exercise on arrays.,Programming,Positive,True
I want to learn JavaScript.,I didn't touch my JavaScript course today.,Programming,Negative,False
I want to get better at debugging code.,I debugged a tricky bug in my project.,Programming,Positive,True
I want to get better at debugging code.,I ignored the bugs and left them for later.,Programming,Negative,False
I want to write cleaner code.,I refactored my code and added comments.,Programming,Positive,True
I want to write cleaner code.,I wrote messy code without documentation.,Programming,Negative,False
I want to learn algorithms.,I studied sorting algorithms today.,Programming,Positive,True
I want to learn algorithms.,I didn't study any algorithms this week.,Programming,Negative,False
I want to drink more water.,I drank 8 glasses of water today.,Health,Positive,True
I want to drink more water.,I forgot to drink enough water.,Health,Negative,False
I want to quit smoking.,I didn't smoke today.,Health,Positive,True
I want to quit smoking.,I smoked two cigarettes today.,Health,Negative,False
I want to manage my anger better.,I practiced deep breathing when I felt angry.,Mindfulness,Positive,True
I want to manage my anger better.,I yelled during an argument.,Mindfulness,Negative,False
I want to be more organized at work.,I made a to-do list and followed it.,Organization,Positive,True
I want to be more organized at work.,I didn't plan my tasks and missed a deadline.,Organization,Negative,False
I want to improve my listening skills.,I listened attentively during meetings.,Communication,Positive,True
I want to improve my listening skills.,I interrupted others during conversations.,Communication,Negative,False
I want to learn to play chess.,I played two games of chess online.,Learning,Positive,True
I want to learn to play chess.,I didn't play or study chess today.,Learning,Negative,False
I want to improve my memory.,I practiced memory exercises for 15 minutes.,Learning,Positive,True
I want to improve my memory.,I didn't do any memory training today.,Learning,Negative,False
I want to be more positive.,I complimented a coworker today.,Mindfulness,Positive,True
I want to be more positive.,I complained about everything today.,Mindfulness,Negative,False
